time,body
1543622368,CoinSpeakerProBit: Professional Digital Currency Exchange Holding Something in Store for EveryoneProBit Exchange seeks to provide a secure digital assets marketplace for traders with different skills and experience. One of the ways is by providing a customizable user interface where users can modify the way they view trades.ProBit: Professional Digital Currency Exchange Holding Something in Store for Everyone
1543620634,"Today in crypto heard rumors of Satoshi's return, saw capitulation talk, Bitcoin ETF pitches/appeals, an Intel patent for Bitcoin mining, and further negativity from mainstream influencers.The post Daily Crypto Roundup 11/30/2018 appeared first on Crypto Insider."
1543620300,"Crashes in the crypto market resulted in spikes in mainstream media coverage from 2013 to 2018, per a recent study by Clovr"
1543620202,"SEC Chairman Jay Clayton has claimed that bitcoin exchanges lack sufficient transparency and monitoring for the market to see approved Bitcoin Exchange Traded Funds (ETFs). According to CNBC, at the Consensus Invest Conference in New York City recently, Clayton said: What investors expect is that trading in the commodity that underlies that ETF makes senseThe post No Bitcoin ETF Before Important Changes to BTC Markets: SEC Chairman appeared first on CCN"
1543618813,There are four different Ethereum working groups that are looking intovarious approaches to help scale the Ethereum blockchain.The next planned upgrade for the DApp and smart contract platform is called Ethereum 1x and is tentatively scheduled for June 2019.
1543617903,"On Nov. 29, Sirin Labs announced the commercial launch of its new blockchain smartphone known as the Finney. According to the cellphone creators, the Finney offers secure and state of the art mobile technology alongside an embedded cold storage cryptocurrency wallet. Also read:Bloxroute Joins the Block Size Debate With New Block Propagation Service People Can [&#8230;]The post Sirin Labs Launches Blockchain-Centric &#8216;Finney&#8217; Smartphone appeared first on Bitcoin News."
1543616700,"Switzerlands oldest university, the University of Basel, has awarded an honorary doctorate to Vitalik Buterin, a co-founder of the Ethereum network"
1543616305,"The newer HBUS cryptocurrency exchange has taken its message to the streets with a new billboard campaign. According to a blog post by the exchange themselves, they are the first in the nation to do this, and we find nothing to the contrary. However, there have been other Bitcoin-related billboard campaigns, like the one GenesisThe post HBUS Launches Crypto Billboard Campaign Mocking Coinbase And Wall Street appeared first on CCN"
1543616240,"                        Having met the U.S. Securities and Exchange Commission (SEC) in August 2018, officials of VanEck, SolidX and Cboe BZX Exchange have met with the Commission again, in the latest attempt to convince the regulator to approve the nation's first bitcoin exchange-traded fund (ETF), according to an official presentation submitted to the SEC.The firms gave the pitch to the SEC's Division of Corporation Finance, Division of Trading and Markets, and Office of General Counsel.The presentation given to staffers of the agency was focused on comparing the cryptocurrency market to other markets that already have exchange-traded funds, including silver and gold markets. The promoters of the VanEck/SolidX ETF hammered on its long-held view  that the bitcoin market is ready for an ETF.Using the vector error-correction (VEC) model to compare pricing data between exchanges over an extended period of time, the proponents argued that bitcoins price between the futures market and the spot market are connected. They then compared these price correlations to the markets for commodities like gold and silver, which also function as money substitutes to indicate that bitcoin features a ""well-functioning capital market.""""The empirical evidence indicates that the spot and futures prices are cointegrated. This indicates that the spot and futures prices are tightly linked.""On the issue of market manipulation, one issue that the SEC ..."
1543615852,"The latest Ethereum 1x meeting, which was conducted under the Chatham House Rule, has some folks in the Ethereum community thinking about the nature of transparency."
1543615242,"Chinese cryptocurrency mining hardware manufacturer Bitmain has just released its own cryptocurrency index. Going forward, the firm will provide market data for 17 of the largest digital assets by market capitalisation. Bitmain Crypto Index Will Track 17 of the Most Popular Digital Assets One of the planets largest producers of digital currency mining hardware has...The post Bitmain Launches Crypto Index for Investors, Provides Data on 17 Digital Assets appeared first on NewsBTC."
1543615229,"Blockchain phones are all therage right now. These mobile devices will offer exposure to distributed applications and various cryptocurrencies. Sirin Labs is one of the main companies people are keeping an eye on. Unfortunately, buying their blockchain phone, the FINNEY, is not as straightforward as assumed. The Sirin Labs Marketing Stunt Developing a blockchain phone...The post Sirin Labs&#8217; Blockchain Phone Can Only Be Bought With SRN Tokens appeared first on Live Bitcoin News."
1543614900,Check Point Research cybersecurity firm has found that the KingMiner cryptojacking malware is evolving its attack methods
1543613835,"Belarus is following a model set forth by Malta, which saw an influx of interest from cryptocurrency companies after putting in place its own regulatory framework."
1543612078,"Casual gamers unite! Or just stay where you are. Thats okay, too."
1543611643,"A new report from CoinShares into Bitcoin mining suggests the practice is likely loss-making for the majority of miners at current prices. Average Miner &#8216;Running At A Loss&#8217; In a whitepaper which received high praise from cryptocurrency figures, CoinShares examined various facets of mining, which has seen increased prominence in recent weeks as Bitcoin price dropped to lows of $3500. Among our findings is an estimate that since May, the market-average, all-in marginal cost ofRead MoreThe post New Report Finds 80% of Bitcoin Mining Running on Renewable Energy appeared first on Bitcoinist.com."
1543611641,"One of the co-founders of the second largest public blockchain on the planet has received an honorary doctorate from the University of Basel. Vitalik Buterin received the recognition from the institution for his role in helping to build the Ethereum network. That&#8217;s Dr. Buterin to You..! According to a post from the University of Basel,...The post Vitalik Buterin Receives Honorary PhD from Basel University appeared first on NewsBTC."
1543611625,"The co-founder of Ethereum, Vitalik Buterin, has been awarded an honorary doctorate by Switzerland&#8217;s oldest institution of higher learning, the University of Basel. According to the university&#8217;s Faculty of Business and Economics, which awarded Buterin the honorary doctorate, the award is &#8216;in recognition of his contribution to promoting decentralization and equal rights of participation inThe post 500-Year Old Swiss University Makes Vitalik Buterin an Honorary Doctor appeared first on CCN"
1543611600,"During 2017 and early 2018, there were many companies that expressed an interest in exploring the potential benefits of using blockchain technology to streamline their business processes. However, the sharp decline in the prices of blockchain-based cryptoassets has also affected the job market in digital asset industry. Last month, the Tsinghua University and BlockData released a report which revealed that the demand for blockchain-focused jobs had dropped by up to 50%."
1543610632,"Bitcoin has failed in its attempt to be a currency and stands no chance of succeeding in this role in the future. It&#8217;s fatally flawed. This is according to Paul Donovan, the chief global economist at the Swiss investment bank, UBS. Following a scathing internal blog post he penned down just days ago, he appeared [&#8230;]The post &#8216;I Come to Bury Bitcoin.&#8217;: UBS Executive Says Cryptos Will Never Be Currency appeared first on NullTX."
1543610155,"Since the recent Bitcoin Cash (BCH) upgrade, the protocol now has some newly added features like the re-enabled opcode OP_Checkdatasig. After theimplementation, a few developers have been experimenting with the opcode and have developed concepts such as &#8220;spending constraints.&#8221; Moreover, in another instance, a programmer recently used the opcode to create an onchain chess game [&#8230;]The post New Bitcoin Cash Opcode Shows an Onchain Game of Chess is Possible appeared first on Bitcoin News."
1543609200,Taiwanese tech giant ASUS to allow its graphics cards owners to mine crypto and cash out via PayPal and WeChat through a new partnership
1543608273,"The new game fund, TRON Arcade, will provide a foundation for blockchain video game developers."
1543608037,Boxing champion Floyd Mayweather Jr. and music producer DJ Khalid have both settled charges with the U.S. Securities and Exchange Commission (SEC) for failing to disclose that they were paid to promote initial coin offering (ICO) projects to the public. Thechargesagainst the two celebrities came about after they both used various social media outlets to...The post What Does Floyd Mayweather&#8217;s Crypto ICO Settlement with the SEC Imply? appeared first on NewsBTC.
1543608028,"Bitcoin&#8217;s terrible price performance forces companies to make tough calls. Especially in the mining department, breaking even has become a lot more difficult. German private equity fund Xolaris sees things differently. The company will invest $50m in Bitcoin mining for the Asian market. The Current State of Bitcoin Mining The topic of Bitcoin mining has...The post German Private Equity Firm Xolaris Doubles Down on Bitcoin Mining Efforts appeared first on Live Bitcoin News."
1543607738,"The CEO of blockchain startup AriseBank, Jared Rice, is facing up to 120 years in prison for a million-dollar scam. 30 year-old Jared Rice was arrested by the FBI on the 28th of November, as announced by the U.S. Attorneys Office of the Northern District of Texas. He was charged for defrauding hundreds of investors [&#8230;]The post AriseBank CEO faces 120 years in jail for million-dollar scam appeared first on Crypto Insider."
1543607728,"Bitcoin is not far from a critical loss of investor confidence that will lead to the market hemorrhaging vast amounts of value as nervous investors dump their holdings. This is the opinion of Chris Beauchamp, an analyst at the online trading platform IG. Speaking to the&#160;Financial Times, Beauchamp stated that the crypto market leader is &#8230; ContinuedThe post Bitcoin Price Nearing &#8216;Capitulation Moment&#8217;: IG Market Analyst appeared first on CCN"
1543607700,Fed up with having to trawl through several pages on exchanges before you find the vital statistics you need? This exchange says it has the answer #SPONSORED
1543606977,Legal drama between partners spoiled a unique take on eco-friendly crypto mining.
1543606800,The U.S. SEC has published a memorandum from the latest meeting regarding VanEck and SolidXs Bitcoin ETF proposal
1543606667,Considering how all of the top cryptocurrencies are going through another round of corrections. Traders are looking elsewhere for profits. One currency getting a lot of attention is Theta Token. Its massive price increase is quite impressive. The biggest development is how this relatively unknown altcoin generates nearly twice its market cap in trading volume. [&#8230;]The post Theta Token Price Gains Nearly 50% as Other Markets Suffer appeared first on NullTX.
1543606580,"                        On November 27, 2018, a California judge turned back the SECs request for an injunction against token company BlockVest, a company the U.S. Securities and Exchange Commission (SEC) is pursuing for allegedly conducting an unregistered securities offering. The judge, however, ruled that BlockVests token distribution, which was conducted via airdrop, was given freely and received without expectation for returns, so it didnt constitute an investment contract.While the judges ruling is not a law-binding verdict, it was still a victory for BlockVest and the wider ICO industry, something thats been a rarity for the SECs mounting list of token sale targets.Among other regulatory developments, 2018 has been one extended game of cat and mouse between the U.S. Securities and Exchange Commission and any number of initial coin offerings (ICO) that have sprung up in the investing exuberance of 2017s bull market. And the SEC has been catching its fair share of mice.Back in last years unprecedented boom, which saw the crypto markets assets increase threefold, many ICOs attempted to evade the SECs scrutiny by self-labeling their products as utility tokens. If they could prove their tokens were built to serve a function rather than exist as an investment vehicle, then they could avoid a securities classification and continue their sale without registering with the SEC.The SEC, though, didnt buy the distinction..."
1543606580,"                        On November 27, 2018, a California judge turned back the SECs request for an injunction against token company BlockVest, a company the U.S. Securities and Exchange Commission (SEC) is pursuing for allegedly conducting an unregistered securities offering. The judge, however, ruled that BlockVests token distribution, which was conducted via airdrop, was given freely and received without expectation for returns, so it didnt constitute an investment contract.While the judges ruling is not a law-binding verdict, it was still a victory for BlockVest and the wider ICO industry, something thats been a rarity for the SECs mounting list of token sale targets.Among other regulatory developments, 2018 has been one extended game of cat and mouse between the U.S. Securities and Exchange Commission and any number of initial coin offerings (ICO) that have sprung up in the investing exuberance of 2017s bull market. And the SEC has been catching its fair share of mice.Back in last years unprecedented boom, which saw the crypto markets assets increase threefold, many ICOs attempted to evade the SECs scrutiny by self-labeling their products as utility tokens. If they could prove their tokens were built to serve a function rather than exist as an investment vehicle, then they could avoid a securities classification and continue their sale without registering with the SEC.The SEC, though, didnt buy the distinction..."
1543606259,"When we think of smart contracts, we usually associate them with the two major programming languages: Bitcoin&#8217;s Script and Ethereum&#8217;s Solidity. Other examples include Cardano&#8217;s Marlowe and Plutus, Tezos&#8217; Liquidity, and plenty of other developments that serve different purposes. However, the biggest issue with these languages is that the parties which sign a smart contract [&#8230;]The post Blockstream launches Simplicity  a more expressive smart contracts language appeared first on Crypto Insider."
1543605525,"                        Is cryptocurrency becoming more mainstream? It could be if one of Americas most prominent game shows features an entire category devoted to it.The November 29, 2018, episode of Jeopardy!  which has been on the air since 1964  offered five unique questions centered around cryptocurrencies and their technology to test out its contestants knowledge on the subject: The results reveal that they did indeed know their fair share.The cryptocurrencies category occurred in the games first round, with answers worth $200, $400, $600, $800 and $1,000 depending on their order and level of difficulty. The category was also among the final two to be tackled by the players, suggesting they may have felt a little less confident heading into it. The first clue, selected by Phil Tompkins, a portable restroom service technician from Indiana, was a rather basic one: An altcoin is any unit of cryptocurrency other than this original one. Chris Williams, a consultant from New York, responded with the correct answer: bitcoin. The contestants then moved to an entirely new category before Adriana Ciccone, a data scientist from San Francisco, jumped back to cryptocurrencies with less than a minute to go in the round. In true cryptocurrency fashion, the stakes suddenly got higher when the selected clue turned out to be a daily double  meaning she was able to risk any or all of her accumulated winnings on the result..."
1543605296,"As the price of ETH continues to nosedive, losing almost 50% of its value over the past 30 days, several altcoin projects have proceeded to move Ethereum holdings out of their fundraiser ICO wallets. Two of the projects, Tezos and Aragon, have provided stated purposes for the transfers which, they say, does not include selling [&#8230;]The post Ending Ethereum FUD over Tezos ICO treasury transfers appeared first on Crypto Insider."
1543604663,"Coinbase has led the digital currency revolution in the US from the front and has grown beyond the American borders to provide services to a global audience. The company is working on several other services too, specifically dedicated to bringing more institutional investment in the space. Speaking at the Money20/20 conference, Coinbase COO Asiff Hirji [&#8230;]Coinbase COO Asiff Hirji Says Stablecoins Will Enable &#8220;Programmatic Money Applications Like We Have Not Seen Before&#8221; was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News."
1543604400,"Fred Wilson, managing partner at Union Square Ventures, recently published a blog post (titled What Bear Markets Look Like) in which he noted that digital currency prices may continue to decline.Wilson compared the performance of Amazon stocks during the Dot-com bubble from the late 1990s and early 2000s to that of cryptocurrency prices when they reached their all-time highs in December of 2017. Wilson noted: So while cryptoasset prices are down 80-95% in USD terms over the last year, they could and probably will go lower."
1543604206,The University of Basel has granted the Ethereum creator an honorary doctorate.
1543603804,"Intel reinvents the wheel, Malaysia goes pro-crypto, and ConsenSys backs privacy startup."
1543603538,"Undefeated (50-0) American professional boxer, FloydRead More &#8594;The post DJ Khaled &amp; &#8216;Pretty Boy Money&#8217; Have to Pay $750,000 for Promoting Centra Crypto Scam appeared first on Crypto Core Media."
1543603425,"This is a submitted sponsored story.&#160;CCN urges readers to conduct their own research with due diligence into the company, product or service mentioned in the content below. New research from Mumsnet and eToro busts the age-old myth that women aren&#8217;t interested in their own finances and investments. In a new survey of 1,000 mums*, MumsnetThe post eToro and Mumsnet Research Reveals over Half of Mums (55%) Want to Take Control of Their Finances appeared first on CCN"
1543603396,"Research suggests that when it comes to covering bitcoin, bad news sells. According to a study conducted by blockchain firm Clovr, the coverage of bitcoin by the mainstream media peaked at the time when the cryptocurrency fell from its all-time high at the beginning of this year. While coverage of bitcoin by the mainstream mediaThe post Mainstream Media Coverage of Bitcoin Goes up as Price Falls: Survey appeared first on CCN"
1543603107,"Intel says it can reduce energy consumption for bitcoin mining by ""about 15 percent."""
1543602933,The malware can delete old versions of itself to evade detection.
1543602689,"This is a&#160;paid-for submitted press release. CCN does not endorse, nor is responsible for any material included below and isn&#8217;t responsible for any damages or losses connected with any products or services mentioned in the press release. CCN urges readers to conduct their own research with due diligence into the company, product or service mentionedThe post Volentix Introduces Vespucci for Comprehensive Cryptocurrency Market Analysis appeared first on CCN"
1543602615,"After a couple days of upwards trading, the cryptocurrency markets have continued to sell-off, led by Bitcoin, but are still sitting above their recently established lows. Todays drop could be the result of traders taking profits on short-term long positions, according to one research firm. At the time of writing, Bitcoinis trading down 6.5% at...The post Bitcoin Drops to $4,000 as Sell-Off Reignites, There Could Be a Larger Trend in Play appeared first on NewsBTC."
1543602000,"U.S. SEC Chairman Jay Clayton reiterated his wary view of crypto trading, warning investors to think before entering a market that lacks safeguards"
